id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
402353,Loft in Watergraafsmeer · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,2008330,Lidy,,Watergraafsmeer,52.35338,4.93407,Private room,154,2,249,2/12/2023,1.88,1,156,20,0363 12D8 9BB2 949E 3227
590386,Rental unit in Amsterdam · ★4.83 · 4 bedrooms · 4 beds · 1.5 baths,2913467,Ido,,Watergraafsmeer,52.35567,4.93175,Entire home/apt,200,7,7,7/29/2017,0.05,1,15,0,0363 A0F4 086A 0905 8765
802052,Boat in Amsterdam · ★4.93 · 1 bedroom · 1 bed · 1 private bath,4221960,Peter,,Centrum-Oost,52.36476,4.90925,Private room,135,1,1134,6/1/2023,8.85,1,161,153,0363 787E FE88 DA65 E7FC
414865,Rental unit in Amsterdam · ★4.89 · 1 bedroom · 1 bed · 1 bath,2063261,Miranda,,Zuid,52.35043,4.84676,Entire home/apt,110,4,9,1/4/2023,0.09,1,12,1,0363 DC39 26C1 3541 47BF
805330,Rental unit in Amsterdam · ★4.94 · 2 bedrooms · 2 beds · 1.5 baths,4239235,Felice,,De Pijp - Rivierenbuurt,52.34725,4.89341,Entire home/apt,249,4,17,9/13/2022,0.14,1,0,2,0363 9611 7834 EC7F E5BB
415619,Rental unit in Zeeburg · ★4.88 · 1 bedroom · 1 bed · 1 bath,1336633,Stephan,,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,145,2,81,5/28/2023,0.6,1,144,6,0363 09A6 8FFA 6EC4 805F
590681,Rental unit in Amsterdam · ★4.95 · 4 bedrooms · 1 bed · 2 baths,2914846,Lotte,,Zuid,52.34788,4.8506,Entire home/apt,394,2,21,5/2/2023,0.16,1,57,7,0363 9A2B 5A8C 1B13 AF1B
816048,Home in Amsterdam · ★4.67 · 2 bedrooms · 3 beds · 1.5 baths,4287096,Esther,,Centrum-Oost,52.35944,4.89299,Entire home/apt,495,4,7,8/11/2018,0.06,1,18,0,03632805EDDF7FA9A780
606871,Boat in Amsterdam · ★4.75 · 1 bedroom · 1 bed · 1 private bath,3007402,Diewert,,Westerpark,52.37621,4.87075,Private room,148,1,432,6/3/2023,3.45,1,276,92,
432233,Condo in Amsterdam · ★4.81 · 1 bedroom · 1 bed · 1 bath,2144360,Feiko,,Centrum-Oost,52.36096191,4.888226032,Entire home/apt,381,5,28,5/16/2023,0.21,1,0,4,0363 DA8F B298 31AF FE9B
816940,Rental unit in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,4290554,Joyce,,Zuid,52.35323,4.85421,Entire home/apt,200,6,69,5/24/2023,0.56,1,150,8,03632A9BE56A736890D1
438089,Bed and breakfast in Amsterdam · ★4.78 · 1 bedroom · 1 bed · 1 private bath,2064560,Har,,De Baarsjes - Oud-West,52.36116,4.86608,Private room,129,3,231,12/21/2022,1.77,2,2,16,
440992,Boat in Amsterdam · ★4.88 · 2 bedrooms · 2 beds · 1 bath,2191136,Jan,,Zuid,52.341621,4.849049,Entire home/apt,200,3,126,5/31/2023,0.94,1,15,10,0363 6532 4C0A A235 9114
608432,Bed and breakfast in Amsterdam · ★4.75 · Studio · 1 bed · 1 shared bath,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,134,1,804,6/1/2023,6.11,2,30,99,
818881,Rental unit in Amsterdam · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,4297337,Liesbeth,,Centrum-Oost,52.36123,4.89619,Entire home/apt,127,6,18,4/12/2023,0.15,1,115,5,0363 C043 2638 E06E 6A9B
834233,Rental unit in Amsterdam · ★4.89 · 1 bedroom · 2 beds · 1.5 baths,4364462,Margot,,Centrum-Oost,52.37272,4.90418,Entire home/apt,133,3,341,5/19/2023,2.69,1,77,29,0363 02A6 5C3D 72B4 EBA2
613088,Farm stay in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1 private bath,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,87,2,414,5/7/2023,3.15,9,151,23,
441424,Home in Amsterdam · ★4.61 · 3 bedrooms · 3 beds · 2 baths,2193861,Marco,,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,175,3,39,8/20/2022,0.3,1,4,5,0363B9396B464F7B165A
